country,2002
Argentina,122
Australia,1568
Bahrain,676
Belgium,2222
Brazil,67
Bulgaria,216
Canada,292
Chile,66
Colombia,42
Croatia,596
Cyprus,1290
Denmark,2100
DominicanRepublic,3
Ecuador,9
Egypt,233
Finland,1456
France,1098
Germany,1109
Greece,2179
Guatemala,2
Hungary,678
Iceland,1350
India,15
Ireland,488
Israel,3688
Italy,583
Japan,564
Jordan,1621
Korea(Republicof),590
Lebanon,1692
Libya,161
TheformerYugoslavRepublicofMacedonia,117
Mexico,27
Netherlands,1008
NewZealand,710
Norway,919
Peru,23
Poland,126
Portugal,417
RussianFederation,68
SaudiArabia,275
Slovenia,1335
Spain,1879
Sweden,1241
Switzerland,737
SyrianArabRepublic,17
Tunisia,588
UnitedArabEmirates,137
Ukraine,48
UnitedStates,424
UnitedKingdom,614
Uruguay,100
Venezuela(BolivarianRepublicof),42
