country,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015
Afghanistan,161,163.9,165.2,146.2,117.4,108.7hhhh,100.0hhhh,91.3hhhh,82.7hhhh,74.0hhh
Albania,16.3,18.7,19.3,19.2,18.6,19.2hhhh,19.8hhhh,20.4hhhh,21.1hhhh,21.7hhh
Algeria,33.1,24.3,14.9,9.7,9.7,9.9hhhh,10.1hhhh,10.3hhhh,10.4hhhh,10.6hhh
Angola,230.6,227.4,217.4,206.2,188.4,183.6hhhh,178.7hhhh,173.9hhhh,169.1hhhh,164.3hhh
AntiguaandBarbuda,59.6,66.1,68.7,62.8,55.5,53.3hhhh,51.2hhhh,49.1hhhh,46.9hhhh,44.8hhh
Argentina,73.4,73.2,69.8,65,60.6,61.2hhhh,61.9hhhh,62.5hhhh,63.2hhhh,63.8hhh
Armenia,65,80.1,49.9,33.8,28,27.0hhhh,26.0hhhh,25.0hhhh,24.0hhhh,23.0hhh
Australia,21.1,20.9,19.5,16.9,17.1,16.5hhhh,15.9hhhh,15.3hhhh,14.7hhhh,14.1hhh
Austria,21.4,20.4,14.8,13.3,11.1,10.3hhhh,9.5hhhh,8.7hhhh,7.9hhhh,7.1hhh
Azerbaijan,23.7,37.5,41.4,34.3,48.1,50.4hhhh,52.8hhhh,55.1hhhh,57.4hhhh,59.8hhh
Bahamas,69.8,69.6,61.9,44,39.4,37.5hhhh,35.5hhhh,33.5hhhh,31.6hhhh,29.6hhh
Bahrain,32.5,22.3,18.3,16.9,14.7,14.4hhhh,14.2hhhh,14.0hhhh,13.7hhhh,13.5hhh
Bangladesh,169.7,143.5,121.6,106.2,93.6,91.5hhhh,89.4hhhh,87.2hhhh,85.1hhhh,83.0hhh
Barbados,49.9,57.9,52,49.1,47.9,46.4hhhh,45.0hhhh,43.6hhhh,42.1hhhh,40.7hhh
Belarus,39.6,44.2,33,24.3,22.1,21.3hhhh,20.5hhhh,19.7hhhh,19.0hhhh,18.2hhh
Belgium,11.4,10.8,10.2,10.9,10.4,10.0hhhh,9.5hhhh,9.1hhhh,8.7hhhh,8.2hhh
Belize,131.6,121.7,106.3,91.2,76.2,74.1hhhh,72.1hhhh,70.0hhhh,68.0hhhh,65.9hhh
Benin,123.1,126.8,122.8,115.7,105.1,100.7hhhh,96.3hhhh,92.0hhhh,87.6hhhh,83.2hhh
Bhutan,111.3,102.4,92,70.1,49.2,43.6hhhh,38.1hhhh,32.5hhhh,27.0hhhh,21.4hhh
Bolivia(PlurinationalStateof),96.1,91.2,93,87.9,81.9,79.7hhhh,77.4hhhh,75.2hhhh,73.0hhhh,70.8hhh
BosniaandHerzegovina,37.8,24.8,24.4,17.4,15.8,14.4hhhh,12.9hhhh,11.5hhhh,10.1hhhh,8.6hhh
Botswana,127.2,85.3,72.3,60.4,49.2,45.8hhhh,42.4hhhh,39.1hhhh,35.7hhhh,32.3hhh
Brazil,80.6,80,83.6,80.9,70.9,70.1hhhh,69.3hhhh,68.6hhhh,67.8hhhh,67.0hhh
BruneiDarussalam,38,44.1,28.8,23.6,23.8,23.2hhhh,22.7hhhh,22.1hhhh,21.5hhhh,21.0hhh
Bulgaria,75.8,66.7,48.2,40.9,42.9,41.9hhhh,40.8hhhh,39.8hhhh,38.8hhhh,37.7hhh
BurkinaFaso,150.2,144.8,142.6,137.1,129.7,125.4hhhh,121.2hhhh,117.0hhhh,112.8hhhh,108.5hhh
Burundi,50.1,49,47.4,36.6,33.5,32.5hhhh,31.4hhhh,30.4hhhh,29.3hhhh,28.3hhh
CaboVerde,109,109,105.8,93.5,85.6,83.2hhhh,80.7hhhh,78.3hhhh,75.9hhhh,73.4hhh
Cambodia,88.1,66.8,51.5,48.2,47,47.9hhhh,48.8hhhh,49.8hhhh,50.7hhhh,51.6hhh
