country,2000,2005,2010,2011,2012,2013,2014,2015
Afghanistan,165,264,420,450,491,515ee,517,511
Albania,3714,4928,6795,7003,7058,7181ee,7209,7365
Algeria,2109,2783,3630,3681,3770,3840ee,3944,4022
Angola,2831,3081,4718,4743,4826,5000ee,5085,5073
Argentina,8991,9935,12734,12413,13023,13343ee,12705,12880
Armenia,1771,3672,5035,5151,5373,5487ee,5522,5533
Australia,26268,29848,31749,32039,32968,33478ee,33751,34271
Austria,23830,25997,29036,29703,29943,30097ee,29753,29835
Azerbaijan,3508,4509,10342,9512,9004,9803ee,11149,11033
Bahamas,20639,20134,18567,18403,18497,18161ee,18101,18070
Bahrain,21578,27393,25376,23687,24307,25325ee,25328,25711
Bangladesh,1064,1326,1861,1962,2080,2176ee,2264,2379
Barbados,10609,10958,11849,11844,11820,11769ee,11746,11801
Belarus,6031,8830,12151,12973,12975,12652ee,13145,12323
Belgium,26700,29608,32273,31633,31989,32088ee,32345,32422
Belize,3444,4168,4631,5260,5308,5301ee,5376,5360
Benin,1268,1349,1462,1470,1495,1561ee,1626,1673
Bhutan,2431,3332,4909,5162,5257,5360ee,5551,5657
Bolivia(PlurinationalStateof),3128,3328,3885,4027,4116,4343ee,4588,4696
BosniaandHerzegovina,4606,5264,6570,6579,6505,6683ee,6725,6950
Botswana,7988,8474,11196,12340,12732,13277ee,13442,13281
Brazil,8198,9162,10456,10807,10699,10900ee,11211,10670
BruneiDarussalam,57183,59836,59944,60032,59981,58574ee,56494,55402
Bulgaria,6991,10177,12014,12127,12288,12320ee,12767,12975
BurkinaFaso,862,1010,1218,1185,1215,1251ee,1246,1278
Burundi,372,342,646,648,653,662ee,671,632
CaboVerde,2275,2832,3741,3884,3905,3909ee,3979,4030
Cambodia,1006,1376,2068,2174,2275,2382ee,2503,2650
Cameroon,1746,1870,2043,2079,2109,2167ee,2272,2340
Canada,26595,30266,31201,31896,32099,32532ee,33058,33282
CentralAfricanRepublic,715,655,747,742,751,469ee,466,482
Chad,772,637,1478,1443,1522,1516ee,1563,1581
Chile,7569,8943,12247,13030,13899,14446ee,14737,14955
China,2827,4399,7583,8218,8847,9401ee,10063,10705
Colombia,5610,6427,6885,8847,9113,9572ee,9752,10217
Comoros,650,649,696,702,711,726ee,728,715
Congo,2911,3111,3916,3883,4190,4300ee,4725,4731
Congo(DemocraticRepublicofthe),465,493,502,514,533,542ee,572,599
CostaRica,4962,7249,8505,9086,9388,9617ee,9794,9957
Croatia,12128,15691,16256,16726,16371,16365ee,16170,16933
Cuba,2340,3111,4366,4539,4680,4827ee,4897,5013
Cyprus,18591,22384,25694,26125,24255,22979ee,22792,23447
CzechRepublic,15028,17677,18587,19408,19631,19624ee,20053,21001
Côted'Ivoire,1702,1572,1734,1625,1778,1885ee,2019,2136
Denmark,31989,34844,36081,36518,36504,36724ee,36749,36857
Djibouti,1017,1203,1620,1681,1749,1823ee,1912,1981
DominicanRepublic,4642,5931,8375,7559,8097,8392ee,8925,9279
Ecuador,4253,5464,7317,7814,8320,8340ee,8441,8279
Egypt,2573,2891,3979,4372,4636,4598ee,4626,4748
ElSalvador,4148,4599,5314,5427,5473,5560ee,5290,5386
EquatorialGuinea,10045,18887,16656,16731,17284,14698ee,13754,17462
Eritrea,1289,1259,1130,1204,1248,1246ee,1267,1286
Estonia,11513,17075,17665,19073,20339,21105ee,21590,21976
Ethiopia,470,487,720,784,842,1009ee,1087,1161
Fiji,3664,3948,4074,4108,4135,4377ee,4573,4695
Finland,27013,32587,33507,33122,33673,32105ee,32029,32081
France,26374,28405,30860,31415,31440,31532ee,31519,31734
Gabon,12362,12936,12139,12190,13484,14167ee,15689,15838
