country,2000,2005,2010,2011,2012,2013,2014,2015
Afghanistan,0.419,0.496,0.536,0.543,0.554,0.563,0.57,0.572
Albania,0.68,0.714,0.754,0.767,0.773,0.775,0.776,0.778
Algeria,0.675,0.719,0.758,0.765,0.768,0.771,0.775,0.779
Argentina,0.768,0.78,0.808,0.816,0.818,0.821,0.825,0.828
Armenia,0.652,0.703,0.724,0.727,0.732,0.736,0.739,0.741
Australia,0.911,0.927,0.937,0.939,0.942,0.944,0.946,0.948
Austria,0.863,0.873,0.89,0.894,0.898,0.903,0.906,0.909
Azerbaijan,0.658,0.713,0.755,0.755,0.757,0.763,0.766,0.779
Bahamas,0.777,,,,,,,
Bahrain,0.796,0.81,0.818,0.818,0.822,0.826,0.828,0.831
Bangladesh,0.505,0.536,0.57,0.579,0.585,0.59,0.595,0.599
Barbados,0.753,0.766,0.775,0.776,0.779,0.783,0.787,0.791
Belarus,0.671,0.713,0.776,0.783,0.786,0.787,0.789,0.786
Belgium,0.885,0.877,0.893,0.895,0.897,0.897,0.9,0.901
Belize,0.695,0.709,0.713,0.712,0.716,0.715,0.716,0.716
Benin,0.447,0.485,0.513,0.518,0.524,0.532,0.535,0.538
Bhutan,,,0.599,0.608,0.616,0.624,0.635,0.637
Bolivia(PlurinationalStateof),,0.65,0.672,0.678,0.683,0.688,0.692,0.695
BosniaandHerzegovina,,0.722,0.734,0.741,0.755,0.769,0.779,0.781
Botswana,0.575,0.626,0.686,0.694,0.7,0.703,0.705,0.704
Brazil,0.689,0.698,0.722,0.728,0.731,0.744,0.751,0.751
BruneiDarussalam,0.825,0.844,0.85,0.855,0.862,0.863,0.865,0.866
Bulgaria,0.722,0.757,0.779,0.783,0.787,0.794,0.799,0.801
BurkinaFaso,,0.357,0.407,0.414,0.42,0.425,0.426,0.429
Burundi,0.304,0.315,0.405,0.412,0.417,0.423,0.425,0.423
Cambodia,0.448,0.516,0.555,0.563,0.571,0.578,0.586,0.592
Cameroon,0.474,0.497,0.527,0.535,0.539,0.544,0.55,0.555
Canada,0.875,0.899,0.908,0.912,0.914,0.917,0.924,0.926
CentralAfricanRepublic,0.359,0.368,0.403,0.408,0.413,0.387,0.39,0.395
Chad,,,0.418,0.429,0.435,0.438,0.443,0.445
Chile,0.783,0.815,0.832,0.837,0.842,0.852,0.856,0.858
China,0.625,0.67,0.72,0.728,0.736,0.744,0.748,0.753
Colombia,0.66,0.689,0.721,0.721,0.722,0.73,0.733,0.728
Comoros,,,0.52,0.526,0.532,0.534,0.535,0.535
Congo,0.518,0.535,0.578,0.584,0.594,0.599,0.607,0.61
Congo(DemocraticRepublicofthe),,0.405,0.44,0.449,0.454,0.458,0.464,0.469
CostaRica,0.718,0.74,0.771,0.777,0.782,0.788,0.784,0.786
Croatia,0.767,0.8,0.814,0.819,0.821,0.824,0.826,0.83
Cuba,0.705,0.748,0.787,0.785,0.782,0.78,0.787,0.792
Cyprus,0.817,0.846,0.862,0.863,0.86,0.86,0.861,0.864
CzechRepublic,0.831,0.857,0.871,0.872,0.872,0.877,0.88,0.883
Côted'Ivoire,0.448,0.464,0.491,0.493,0.502,0.506,0.511,0.517
Denmark,0.87,0.906,0.913,0.93,0.934,0.936,0.937,0.938
DominicanRepublic,,,0.703,0.709,0.71,0.713,0.718,0.724
Ecuador,,,,,0.739,0.746,0.748,0.748
Egypt,0.659,0.68,0.712,0.712,0.716,0.721,0.722,0.724
ElSalvador,0.639,0.666,0.682,0.681,0.686,0.687,0.689,0.691
Estonia,0.767,0.807,0.825,0.834,0.841,0.846,0.849,0.851
Ethiopia,0.322,0.39,0.453,0.464,0.468,0.473,0.479,0.484
Fiji,0.689,0.712,,,,,,
Finland,0.854,0.865,0.875,0.882,0.884,0.888,0.891,0.895
France,0.855,0.875,0.886,0.889,0.891,0.895,0.899,0.902
Gabon,0.644,0.659,0.687,0.696,0.708,0.716,0.723,0.725
Gambia,0.42,0.445,0.467,0.468,0.474,0.48,0.481,0.484
Georgia,0.689,0.731,0.753,0.76,0.767,0.77,0.775,0.777
Germany,0.884,0.914,0.931,0.935,0.938,0.937,0.941,0.943
Ghana,0.523,0.546,0.587,0.596,0.603,0.607,0.604,0.606
Greece,0.818,0.868,0.877,0.875,0.877,0.879,0.881,0.883
Guatemala,0.573,0.599,0.623,0.629,0.63,0.633,0.649,0.651
Guinea,0.374,0.404,0.433,0.446,0.459,0.462,0.464,0.464
Guyana,0.619,0.638,0.638,0.645,0.647,0.65,0.651,0.653
Honduras,0.585,0.601,0.624,0.627,0.626,0.63,0.636,0.637
"HongKong,China(SAR)",,,0.913,0.921,0.919,0.93,0.934,0.937
Hungary,0.773,0.803,0.821,0.827,0.831,0.838,0.838,0.84
Iceland,0.856,0.885,0.898,0.906,0.917,0.924,0.931,0.938
India,0.558,0.593,0.635,0.646,0.651,0.657,0.664,0.671
Indonesia,0.62,0.655,0.686,0.692,0.699,0.704,0.708,0.712
Iran(IslamicRepublicof),0.717,0.733,0.78,0.791,0.805,0.807,0.81,0.812
Iraq,0.67,0.691,0.707,0.712,0.715,0.715,0.707,0.708
Ireland,0.862,0.894,0.904,0.905,0.91,0.917,0.924,0.931
