code,indicator,country,year,value
EA_2T8_AG25T99,"Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)",Belgium,2006,76.78745
EA_2T8_AG25T99,"Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)",Belgium,2008,78.32391
EA_2T8_AG25T99,"Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)",Belgium,2009,79.42992
EA_2T8_AG25T99,"Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)",Belgium,2010,79.64149
EA_2T8_AG25T99,"Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)",Belgium,2011,80.10137
EA_2T8_AG25T99,"Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)",Belgium,2012,80.29019
EA_2T8_AG25T99,"Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)",Belgium,2013,81.58793
EA_2T8_AG25T99,"Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)",Belgium,2014,82.34054
EA_2T8_AG25T99,"Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)",Belgium,2015,84.35792
EA_3T8_AG25T99_F,"Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, female (%)",Namibia,2001,16.29633
EA_3T8_AG25T99_F,"Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, female (%)",Lithuania,2005,71.76452
EA_3T8_AG25T99_F,"Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, female (%)",Lithuania,2006,74.42549
EA_3T8_AG25T99_F,"Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, female (%)",Lithuania,2007,74.80903
EA_3T8_AG25T99_F,"Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, female (%)",Lithuania,2008,75.92593
EA_3T8_AG25T99_F,"Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, female (%)",Lithuania,2009,76.98704
EA_3T8_AG25T99_F,"Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, female (%)",Lithuania,2010,78.11884
EA_3T8_AG25T99_F,"Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, female (%)",Lithuania,2011,79.10549
EA_3T8_AG25T99_F,"Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, female (%)",Lithuania,2012,79.20188
EA_3T8_AG25T99_F,"Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, female (%)",Lithuania,2013,80.10089
EA_3T8_AG25T99_F,"Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, female (%)",Lithuania,2014,81.47217
EA_3T8_AG25T99_F,"Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, female (%)",Lithuania,2015,82.83073
EA_3T8_AG25T99_M,"Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, male (%)",UnitedStatesofAmerica,2004,84.84824
EA_3T8_AG25T99_M,"Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, male (%)",UnitedStatesofAmerica,2005,84.92673
EA_3T8_AG25T99_M,"Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, male (%)",UnitedStatesofAmerica,2006,85.01268
EA_3T8_AG25T99_M,"Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, male (%)",UnitedStatesofAmerica,2008,85.95383
EA_3T8_AG25T99_M,"Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, male (%)",UnitedStatesofAmerica,2009,86.25327
EA_3T8_AG25T99_M,"Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, male (%)",UnitedStatesofAmerica,2010,86.60009
EA_3T8_AG25T99_M,"Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, male (%)",UnitedStatesofAmerica,2011,87.10221
EA_3T8_AG25T99_M,"Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, male (%)",UnitedStatesofAmerica,2012,87.29109
EA_3T8_AG25T99_M,"Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, male (%)",UnitedStatesofAmerica,2013,87.63709
EA_3T8_AG25T99_M,"Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, male (%)",UnitedStatesofAmerica,2014,87.7244
EA_3T8_AG25T99_M,"Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, male (%)",UnitedStatesofAmerica,2015,88.03655
EA_2T8_AG25T99_GPI,"Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, gender parity index (GPI)",Oman,2003,0.75487
EA_2T8_AG25T99_GPI,"Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, gender parity index (GPI)",Oman,2008,0.82478
EA_2T8_AG25T99_GPI,"Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, gender parity index (GPI)",Oman,2010,0.96398
EA_2T8_AG25T99_GPI,"Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, gender parity index (GPI)",Oman,2015,1.15315
EA_4T8_AG25T99_M,"Educational attainment: at least completed post-secondary (ISCED 4 or higher), population 25+ years, male (%)",Bhutan,2012,7.94701
EA_3T8_AG25T99_GPI,"Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, gender parity index (GPI)",Iran(IslamicRepublicof),2006,0.89323
EA_3T8_AG25T99_GPI,"Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, gender parity index (GPI)",Iran(IslamicRepublicof),2008,0.94244
EA_3T8_AG25T99_GPI,"Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, gender parity index (GPI)",Iran(IslamicRepublicof),2010,0.98762
EA_3T8_AG25T99_GPI,"Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, gender parity index (GPI)",Iran(IslamicRepublicof),2012,0.97212
