country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,49.13,48.7648,48.3996,48.0344,47.6692,47.304,46.067,44.83,43.593,42.356,41.119,39.5738,38.0286,36.4834,34.9382,33.393,32.0268,30.6606,29.2944,27.9282,26.562,24.842,23.122,21.402
Afghanistan,163.916,164.1812,164.4464,164.7116,164.9768,165.242,161.4432,157.6444,153.8456,150.0468,146.248,140.4764,134.7048,128.9332,123.1616,117.39,111.4708,105.5516,99.6324,93.7132,87.794,82.2638,76.7336,71.2034
Angola,227.37,225.38,223.39,221.4,219.41,217.42,215.1712,212.9224,210.6736,208.4248,206.176,202.6216,199.0672,195.5128,191.9584,188.404,185.912,183.42,180.928,178.436,175.944,171.2734,166.6028,161.9322
Albania,18.733,18.8524,18.9718,19.0912,19.2106,19.33,19.311,19.292,19.273,19.254,19.235,19.108,18.981,18.854,18.727,18.6,19.0396,19.4792,19.9188,20.3584,20.798,21.1438,21.4896,21.8354
Andorra,,,,,,,,,,,,,,,,,,,,,,,,
UnitedArabEmirates,41.733,38.8972,36.0614,33.2256,30.3898,27.554,27.1554,26.7568,26.3582,25.9596,25.561,26.4232,27.2854,28.1476,29.0098,29.872,29.4226,28.9732,28.5238,28.0744,27.625,28.4394,29.2538,30.0682
Argentina,73.202,72.5218,71.8416,71.1614,70.4812,69.801,68.8332,67.8654,66.8976,65.9298,64.962,64.0868,63.2116,62.3364,61.4612,60.586,61.264,61.942,62.62,63.298,63.976,63.9136,63.8512,63.7888
Armenia,80.067,74.032,67.997,61.962,55.927,49.892,46.671,43.45,40.229,37.008,33.787,32.635,31.483,30.331,29.179,28.027,27.5424,27.0578,26.5732,26.0886,25.604,24.5562,23.5084,22.4606
AmericanSamoa,,,,,,,,,,,,,,,,,,,,,,,,
AntiguaandBarbuda,66.122,66.6432,67.1644,67.6856,68.2068,68.728,67.5386,66.3492,65.1598,63.9704,62.781,61.3234,59.8658,58.4082,56.9506,55.493,54.247,53.001,51.755,50.509,49.263,47.4636,45.6642,43.8648
Australia,20.875,20.5906,20.3062,20.0218,19.7374,19.453,18.9462,18.4394,17.9326,17.4258,16.919,16.9552,16.9914,17.0276,17.0638,17.1,16.7854,16.4708,16.1562,15.8416,15.527,14.966,14.405,13.844
Austria,20.389,19.269,18.149,17.029,15.909,14.789,14.5004,14.2118,13.9232,13.6346,13.346,12.902,12.458,12.014,11.57,11.126,10.6138,10.1016,9.5894,9.0772,8.565,7.972,7.379,6.786
Azerbaijan,37.532,38.3038,39.0756,39.8474,40.6192,41.391,39.9808,38.5706,37.1604,35.7502,34.34,37.0942,39.8484,42.6026,45.3568,48.111,49.2276,50.3442,51.4608,52.5774,53.694,56.1272,58.5604,60.9936
