country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,84.24099731,84.25,84.2440033,84.23300171,84.21700287,84.18900299,84.23500061,84.28600311,84.33100128,84.36699677,84.06199646,84.11100006,84.16000366,84.20999908,84.25800323,84.29499817,84.29100037,84.26200104,84.20400238,84.11799622,84.01200104,83.9280014,83.84100342,83.76000214,83.69400024,83.64600372,83.59200287,83.55400085
Angola,76.72699738,76.625,76.39800262,75.71199799,75.69200134,75.82900238,75.97499847,76.06400299,76.14099884,76.15899658,76.18000031,76.19999695,76.41500092,76.44200134,76.59300232,76.87200165,77.11399841,77.35900116,77.49099731,77.44200134,77.38899994,77.34600067,77.29799652,77.24700165,77.18099976,77.14199829,77.09899902,77.05599976
Albania,74.67099762,75.25299835,75.20999908,74.98100281,74.59700012,73.93800354,73.83399963,74.3219986,74.09200287,73.83599854,73.58100128,73.03900146,72.60700226,71.25099945,69.875,68.51499939,67.31700134,66.21299744,65.19100189,64.24299622,63.59600067,62.8429985,62.10800171,61.3769989,60.63299942,60.6609993,60.79399872,60.95000076
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,76.25382909,76.17415624,75.22657307,75.57626661,75.79729318,75.62848762,75.25968633,74.93057074,74.52929733,74.90019682,74.70292142,74.32768991,73.95363265,74.00615602,74.21262259,74.36422529,73.63152809,73.6935116,73.92488174,74.06392193,74.49403015,74.59524755,74.62330473,74.81448673,74.89794079,75.02711859,75.04088282,75.04029836
United Arab Emirates,91.24700165,91.01100159,91.1230011,91.47499847,91.90599823,92.31300354,91.48899841,91.02100372,90.96499634,91.24500275,91.66999817,90.57299805,90.08699799,90.12200165,90.55999756,91.23400116,89.98699951,89.56800079,89.68699646,90.17900085,91.26399994,91.40799713,91.41699982,91.38200378,91.41100311,91.56300354,91.08599854,90.75099945
Argentina,76.68499756,76.64099884,76.53399658,76.3710022,76.24900055,76.15599823,75.69799805,75.30500031,74.96299744,74.64099884,74.31500244,73.96499634,73.60500336,73.23699951,76.37999725,76.55500031,76.625,75.61100006,74.6210022,74.55400085,74.89199829,74.20500183,74.6269989,74.34200287,74.44499969,74.46800232,74.43699646,74.38999939
Armenia,71.10500336,70.83999634,69.12599945,68.5739975,68.59999847,68.49199677,68.18900299,67.76000214,67.38300323,66.9240036,66.52500153,66.37400055,66.69999695,66.98699951,67.28800201,67.65799713,68.04599762,68.47299957,69.07700348,68.6230011,72.26100159,72.5,72.22899628,72.45600128,72.98899841,73.5759964,73.94200134,74.20400238
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,75.73400116,74.80599976,74.30200195,73.80899811,73.77700043,74.05899811,73.79199982,73.24900055,72.96399689,72.57299805,72.48300171,72.13600159,71.98699951,71.67900085,71.63700104,72.1740036,72.30599976,72.60399628,72.67299652,72.3239975,72.47399902,72.27899933,71.79299927,71.4280014,71.02999878,70.92099762,70.81300354,70.71099854
Austria,69.89199829,69.9240036,69.97399902,69.76499939,70.27100372,70.69599915,69.84600067,69.50099945,69.18299866,69.22100067,68.9509964,68.46299744,68.5059967,68.45500183,66.98799896,67.31099701,67.7460022,68.77300262,68.41899872,67.9489975,67.64800262,67.64600372,67.66200256,67.28099823,66.0739975,66.02500153,65.92199707,65.78199768
