country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,16.23699951,16.10400009,15.96199989,15.85299969,15.63700008,15.4460001,15.30799961,15.22999954,15.04199982,15.22099972,15.47999954,15.78100014,16.09799957,16.42499924,16.27899933,16.18400002,16.17399979,16.28199959,16.52599907,16.95000076,17.50799942,18.1760006,18.91300011,19.0510006,19.19300079
Albania,54.73600006,54.22200012,53.70800018,52.95700073,52.51599884,52.97100067,52.39699936,51.90299988,51.50400162,50.98899841,50.63999939,49.59700012,48.56399918,47.56499863,46.78300095,46.0719986,45.39599991,44.72600174,44.12099838,43.17599869,42.24000168,41.32099915,40.42699814,40.32699966,40.27500153
Algeria,10.49600029,10.81200027,11.14900017,11.50699997,11.86400032,11.81099987,11.79699993,11.82400036,11.89299965,12.00300026,12.15400028,12.34399986,12.56900024,12.82499981,13.11499977,13.43700027,13.79300022,14.18599987,14.3579998,15.21500015,16.13100052,16.85499954,16.70499992,16.81900024,16.92200089
AmericanSamoa,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,63.48600006,65.61299896,65.58200073,65.1309967,64.60299683,64.27400208,64.01300049,63.98799896,63.97900009,63.91600037,63.14899826,63.06900024,62.52999878,61.43199921,60.34600067,59.13899994,58.51100159,58.92499924,59.32300186,59.46699905,59.60200119,59.71500015,59.93700027,59.88100052,59.81800079
AntiguaandBarbuda,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,39.72100067,40.11700058,40.52399826,41.26800156,41.43799973,41.66500092,41.94200134,42.24900055,42.56900024,43.29899979,44.00600052,44.68700027,48.81499863,48.77899933,48.67599869,48.43700027,48.21699905,48.81700134,47.03499985,46.89699936,46.90499878,47.81999969,48.27099991,48.38600159,48.4980011
Armenia,51.24200058,51.15399933,50.80199814,50.39599991,50.05500031,49.79100037,49.48899841,49.30599976,49.10200119,48.86100006,48.89099884,48.80899811,48.71500015,48.54000092,48.35900116,48.18099976,48.23500061,49.96500015,50.92699814,53.79299927,53.79899979,54.42399979,54.5890007,54.89099884,55.14500046
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,51.94300079,51.83300018,52.6590004,53.76399994,53.79700089,53.69800186,53.84899902,53.89599991,54.72499847,55.17300034,55.35100174,55.99300003,55.74900055,57.01200104,57.61999893,58.20800018,58.64799881,58.76800156,58.69300079,59.0019989,58.83399963,58.68899918,58.65100098,58.57099915,58.47299957
Austria,44.95800018,45.4679985,48.01100159,48.31600189,47.86600113,48.13499832,48.15999985,48.42599869,48.47999954,48.98799896,50.04499817,50.59000015,50.39300156,51.22600174,52.10800171,52.76900101,53.36500168,54.08000183,53.86600113,54.10499954,54.61399841,55.02999878,54.67399979,54.72800064,54.71500015
