country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,,,95.11000061,,,95.11000061,,,94.73999786,,,,,,,93.33000183,,,94.79000092,96.12000275,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,32.79000092,,34.33000183,32.68999863,35.90999985,37.81000137,38.29000092,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,,,,86.08999634,,,,,86.08999634,,,,,92.41999817,,,92.52999878,,,,,,,,
Argentina,80.75,83.13999939,85.18000031,84.36000061,87.27999878,88.01999664,89.05000305,88.83999634,89.22000122,88.94999695,89.73999786,87.12000275,87.16999817,88.05000305,88.48999786,,88.80999756,89.73999786,89.98000336,87.98000336,89.48999786,89.94000244,90.75,,
Armenia,,,,,,,,,,,46.08000183,46.58000183,44.95999908,43.79999924,44.49000168,48.31999969,43.09000015,48.84000015,46.91999817,49.63999939,48.36999893,48.81999969,,52.36000061,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,93.76999664,93.76000214,93.76000214,93.76999664,93.76999664,93.76000214,93.76999664,93.76000214,,,,,,,,
Australia,84.43000031,84.23999786,84.55000305,85.11000061,85.48000336,85.52999878,85.91999817,86.13999939,85.88999939,86.77999878,87.19000244,87.69999695,87.61000061,88,88.26999664,88.62999725,88.54000092,88.66000366,88.80999756,89.23000336,89.45999908,89.76999664,90.01000214,90.68000031,90.44000244
Austria,71.62000275,73.04000092,74.84999847,74.26000214,75.80000305,77.62000275,78.48000336,78.97000122,79.37000275,79.83000183,80.81999969,81.08000183,81.65000153,81.76999664,81.26000214,81.37000275,82.47000122,83.33999634,83.48999786,82.83999634,83.05000305,82.76000214,82.69000244,83.61000061,
Azerbaijan,,,,,,,,44.58000183,46.38000107,50,53.13999939,52.65000153,53.68000031,53.97000122,52.68000031,54.24000168,53.20000076,50.29999924,49.38999939,49.88999939,49.88000107,50.45000076,51.18000031,52.06999969,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,82.02999878,83.90000153,83.62999725,84.34999847,84.56999969,84.68000031,85.66999817,86.58000183,87.13999939,87.23999786,86.41999817,87.33000183,87.55000305,87.16000366,87.94000244,87.63999939,88.65000153,89.26999664,89,89.41000366,90.65000153,90.56999969,90.83000183,90.88999939,
Benin,,,,,,,,,,,,,,,,,,,54.68000031,,,,,,
Burkina Faso,,,,,,,,,,,,,,,12.69999981,,,,,,,,,,
Bangladesh,,,,,11.02999973,,,,12.14000034,,,22.95999908,,19.36000061,,,,,21.89999962,,,,,,
Bulgaria,,,,,,,,,61.77999878,63.93999863,62.97000122,63.59999847,63.02000046,64.25,65.80999756,65.80000305,65.48999786,67.73999786,70.70999908,71.27999878,70.62000275,71.72000122,72.22000122,72.91999817,
Bahrain,,,,,,,,,,86,,,,,,,,,89.75,,,,,,
"Bahamas, The",93.05000305,93.33999634,92.51000214,93.27999878,92.72000122,92.36000061,93.23000336,93.33000183,,92.16000366,93.40000153,93.69000244,94.36000061,94.30999756,94.11000061,94.18000031,94.73999786,95.48000336,,93.73999786,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,66.43000031,46.24000168,
