country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,,,,,,,,100,,98.8669281,100,100,,,,,97.27055359,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,53.35575104,,,,,,,
Albania,,,,100,,,,,97.59525299,,,,,,97.79186249,98.3614502,100,98.33454895,99.2768631,99.47290039,99.48293304,99.83714294,99.11144257,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,
ArabWorld,83.31391907,85.22496796,84.75798035,84.72274017,85.37012482,86.54243469,88.45635986,89.91530609,90.06032562,90.68930817,91.10578156,91.31169891,91.31532288,,91.5058136,91.89340973,92.24153137,92.72717285,92.86080933,91.67698669,87.94030762,87.5192337,,
UnitedArabEmirates,97.89473724,100,99.72628784,,98.44756317,,,98.95613098,99.88739777,100,99.50382233,97.34459686,99.42082214,99.74305725,99.23809052,,,100,100,99.98233032,98.70346832,99.85933685,,
Argentina,,,,,,,98.00418091,99.96618652,100,99.56317139,98.97367096,100,100,100,100,100,100,100,100,100,100,100,,
Armenia,,,,,,,,,,,98.2041626,97.25818634,100,98.97476959,100,98.42363739,,,,97.86559296,,97.15363312,99.79432678,
AmericanSamoa,,,,,,,,,,,,,,,,,,,,,,,,
AntiguaandBarbuda,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,
Austria,,,,,,,100,,,,99.31607819,,,98.80769348,98.93630219,99.39675903,99.89745331,99.78398132,100,100,100,100,99.8598175,
Azerbaijan,,94.36029816,,49.86716843,92.64089203,,98.20932007,99.09227753,96.99131012,97.27986908,97.64424133,99.4240036,98.84784698,98.06024933,99.43002319,99.11715698,98.47679138,98.73429108,98.22197723,99.6831131,98.04271698,100,98.80716705,
Burundi,16.25157928,,,,,,,,,,,63.82247925,55.49483109,,,63.39477158,64.38854218,63.43386841,66.65396881,66.3392868,72.56524658,74.84095001,77.63964081,
Belgium,,,,,,,,,,,,,,98.78813934,98.76873779,98.51554108,97.77790833,,,,,,,
Benin,,,,,,,,,100,,78.11264801,,,,,,,,77.49598694,,87.34562683,86.16496277,87.42871857,
