country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,,,,,,,,99.39302063,,100,99.63485718,99.07003021,,,,,100,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,30.7739296,,,,,,,
Albania,,,,99.05708313,,,,,96.90947723,,,,,,98.95420074,98.07733154,98.50327301,97.86370087,99.10344696,99.50482941,100,99.78224945,99.05168152,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,86.36672974,87.74245453,87.14382935,87.0625,87.31047058,87.64647675,88.85844421,90.33889771,89.9744339,91.74655914,92.14286041,92.01830292,91.67503357,,90.93952179,91.0274353,90.91086578,90.89568329,90.3529129,89.58637238,86.0055542,86.23563385,,
United Arab Emirates,96.05130005,98.99333954,97.76634979,,97.65106201,,,98.46647644,100,98.04543304,96.14125061,99.54714203,99.0464325,100,100,,,95.52037811,91.77474976,98.89089966,98.10215759,100,,
Argentina,,,,,,,96.41275024,96.46112823,95.43515778,95.26872253,94.11092377,93.48618317,91.83625793,90.90036774,90.08647156,90.47355652,90.79981995,91.91828156,92.51746368,93.38343811,93.8269577,94.7543335,,
Armenia,,,,,,,,,,,98.21264648,98.81745911,99.49977112,100,98.68379211,100,,,,97.71385193,,96.8239212,100,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,
Austria,,,,,,,89.28794098,,,,100,,,100,100,100,100,100,99.8968277,99.69889832,99.87905121,99.96101379,100,
Azerbaijan,,99.05383301,,48.77981949,100,,97.64328766,96.89279938,99.43026733,99.19158936,98.52883911,99.06929016,99.65454102,100,98.77320862,100,99.81758881,98.39530182,99.15753174,98.48709106,100,98.29168701,100,
Burundi,17.8866291,,,,,,,,,,,58.71089935,60.11611938,,,68.31929779,61.2740097,75.68154907,75.23576355,72.30065155,78.77966309,79.86859131,81.87924957,
Belgium,,,,,,,,,,,,,,100,100,100,100,,,,,,,
Benin,,,,,,,,,98.4368515,,78.05185699,,,,,,,,78.99476624,,89.7734375,84.89555359,87.68466949,
Burkina Faso,,41.81972885,,,,,62.93555832,60.56777954,62.19792938,,61.92541885,,67.94847107,65.53327942,67.58142853,74.22283936,74.2842865,76.08281708,,72.85260773,69.01551056,70.64560699,77.24832916,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,96.42302704,95.11968231,98.68300629,100,98.05831146,,98.72592163,,99.65849304,98.59812927,98.93118286,98.61659241,98.35312653,98.43347168,97.83750153,97.40366364,98.30460358,99.19523621,99.04595947,99.28449249,99.78382874,100,99.47173309,
Bahrain,98.71717072,,,,,,,100,98.57050323,98.41400909,98.75906372,98.57470703,98.34635925,,,,,,,99.79347229,100,99.66880798,99.76448059,
"Bahamas, The",,,,,,,,,,,,,,98.68209839,100,100,,99.33287048,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,84.52932739,,,,,99.64212036,
Belarus,,100,100,97.17902374,99.6896286,,97.53752136,99.71154022,100,99.12654114,100,100,99.18663788,99.39025879,100,97.49491882,,,99.6075592,98.16132355,97.60368347,98.18750763,98.02455139,
Belize,,,93.99529266,93.58120728,,,,92.5042572,93.6378479,,100,94.2223587,100,92.93015289,94.17314148,96.25312042,96.2614212,94.96021271,96.89038849,100,95.21656036,97.2820816,97.25356293,
Bermuda,,,,,,,,,,,96.22641754,,,,,,,,,86.89443207,,,,
Bolivia,94.15450287,89.24295044,89.82926178,91.79251862,91.15863037,,92.09600067,92.06336212,91.94246674,92.88783264,92.71324921,92.84763336,92.34516907,93.07141876,93.79364014,97.14476776,94.83339691,95.40628052,93.83281708,95.1228714,96.87010956,96.6362381,97.28819275,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,,,,,,,,97.722229,100,98.49108124,100,96.25192261,100,100,96.79505157,98.18869019,100,,,,,,,
Brunei Darussalam,,,,,,,,,,,87.36521149,97.7226181,96.56265259,99.89629364,100,99.85816193,100,99.28103638,100,99.24228668,100,99.49668884,100,100
Bhutan,,89.52095795,,,,93.17088318,92.95292664,92.85533905,92.46640778,,,,,95.55021667,,,96.25209808,97.62375641,99.15911865,97.72891235,95.64067078,98.00137329,,
Botswana,87.77191162,85.69541931,91.94541931,,,,95.52192688,96.84040833,95.1680069,95.88172913,100,97.1449585,100,98.45507813,98.30338287,98.09900665,,,,,97.3769989,,,
Central African Republic,,,,,,,,,,,,,73.74336243,,,,62.82516861,,,80.54361725,,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,98.0462265,,99.46487427,97.67559052,96.93138123,97.50153351,99.70889282,100.0635605,100.0640106,100.030159,100.1291199,100.0992584,100.0843582,99.98454285,99.64743805,99.63332367,99.76132965,99.71711731,99.48984528,99.58908081,99.35888672,99.41875458,,
Switzerland,,,,,,,,100,99.88632202,99.78636932,100,100,99.69606781,99.47135162,99.54290771,99.23348236,99.37605286,99.81243134,99.77818298,99.82512665,99.67958832,100,99.80393982,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,97.9682312,,,,,,,,,,,,,,95.69367218,96.6837616,98.72960663,99.49817657,96.74967957,
China,,,,89.8269577,89.90686035,,,,,,,,,,,,98.79232025,98.52159882,98.4172287,,97.15898132,95.78089142,99.30285645,
Cote d'Ivoire,,69.02335358,,71.02583313,68.52886963,63.60060883,,69.07232666,70.5582428,,,,,,71.8427124,,70.04196167,,,77.28643036,,90.37750244,94.41130066,
Cameroon,,,,,,,,31.37903976,,,,,,,44.69765854,58.92837906,49.85375977,,57.80759048,61.67950058,,,65.07221222,
"Congo, Dem. Rep.",33.51702881,28.71619987,,,,,,,,,,,,,,91.66290283,,,,75.43657684,73.20407867,,,
"Congo, Rep.",74.04749298,82.08521271,,60.87495041,,,,,,88.74416351,85.06198883,87.62545013,72.20596313,,,70.93409729,73.52388763,77.04936981,,78.10262299,,,,
Colombia,,,,,,,96.7567215,,92.5200119,,,,100,99.08193207,99.59175873,100,100,99.21063232,100,100,98.45451355,,,
Comoros,,,,,,,,,,,80.47196198,99.36170197,,,,,,,,,,100,,
Cabo Verde,,,,,,,,,,85.47682953,85.42888641,87.02265167,90.71231842,97.80142212,91.05496979,93.49739838,91.77844238,94.18287659,95.68575287,94.40196991,94.0671463,95.24385071,97.09503937,
Costa Rica,66.37628937,66.6035614,68.21785736,67.57241821,,,,85.56858826,83.93937683,89.14080048,,,,100,,100,97.94779205,94.2780838,95.13430023,97.72161102,85.65621185,86.30143738,84.81729126,
Caribbean small states,87.23878479,86.36469269,86.92002106,87.56918335,87.52059937,88.02761078,88.46022797,87.40962982,88.83631897,85.94944,88.6131134,89.34407043,90.35079956,91.0871048,92.20669556,94.21105957,92.38462067,93.06600189,91.87416077,90.57736969,89.0245285,90.67662811,,
Cuba,,,,,,,,96.2115097,96.63108063,97.13922882,97.85978699,98.2472229,98.47306061,98.27555847,98.51361084,98.11934662,98.68701935,98.50431061,98.46382141,98.71772766,98.7164917,98.94387817,98.12905884,
Curacao,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,100,94.26229858,88.9679718,,,97.48326874,100,85.1162796,100,,,,92.08210754,93.04202271,,,
Cyprus,100,100,100,99.90157318,100,,,99.64880371,100,100,99.89230347,99.62956238,100,100,98.33142853,99.83270264,99.98773193,99.80802155,98.88623047,97.79044342,99.10735321,98.92472839,98.77736664,
Czech Republic,,,,95.67912292,,,,100,100,100,100,99.99558258,99.72242737,99.74189758,99.23278046,99.13606262,99.60642242,98.74320221,98.70883942,98.45890808,99.37438965,99.43920135,99.9538269,
Germany,,100,99.98075867,99.84380341,100,,,100,100,99.9352417,100,99.81881714,100,99.81791687,99.53468323,99.83966064,,,,,,100,100,
Djibouti,,,,,,,,66.20713806,80.27304077,,,,94.21613312,91.31783295,,,,,,92.59796906,,98.98262024,81.54885864,77.21559143
Dominica,,,,,,,,100,85.66175842,,100,,100,,,96.56716156,,100,99.73264313,100,94.940979,,100,
Denmark,,,,,,,92.10131836,99.88018799,,100,,,100,100,97.05155945,94.72428131,99.59233856,100,100,96.90950775,100,99.94335938,100,
Dominican Republic,,,,,,,88.09716797,89.71530151,,,,93.71266937,,,97.60240936,,95.99140167,88.80615234,91.80818939,90.77749634,92.63052368,95.56446838,92.99217224,
Algeria,92.18334198,90.45191193,90.7838974,90.31565094,91.08944702,,90.08737946,97.42476654,92.46102142,94.14129639,94.21510315,93.32702637,93.2108078,91.55519867,92.55680847,97.14276123,,100,100,100,100,100,100,
East Asia & Pacific (excluding high income),,,,83.11492157,87.71746063,84.58213806,85.44149017,86.64053345,87.89028931,89.27236176,90.63239288,91.96440887,91.89850616,94.50839233,96.86677551,96.1339798,96.63211823,95.88299561,95.31391144,97.0785675,95.46861267,93.35292816,,
Early-demographic dividend,83.20970154,84.30233765,85.42536163,86.29380035,86.94114685,87.61762238,88.62011719,89.33055115,88.50344086,90.62741089,88.84455109,90.28205109,89.76255798,90.88703156,92.22481537,91.13344574,91.33256531,91.05249023,90.53556061,92.05638123,91.14162445,,,
East Asia & Pacific,,,,84.26813507,88.46118927,85.48773193,86.21629333,87.29348755,88.44161224,89.72579956,91.03483582,92.30929565,92.27312469,94.71589661,96.91512299,96.27281189,96.72881317,96.04117584,95.50411987,97.14285278,95.64862823,93.67687225,,
Europe & Central Asia (excluding high income),90.28383636,91.12660217,92.46842957,93.02713776,93.477211,94.64981079,96.34117889,97.12171936,97.38722229,95.7743988,96.71044922,98.02246094,98.54509735,99.05908203,99.31720734,99.50601959,99.15496063,99.12602234,99.20545959,99.54655457,99.53463745,99.43069458,,
Europe & Central Asia,93.42483521,94.01148987,94.89031982,94.5892868,94.84922791,95.57648468,96.59099579,97.12622833,97.69265747,96.87261963,97.36994934,97.99087524,98.28492737,98.4875946,98.60991669,98.65122223,98.5082016,98.44394684,98.45560455,98.57549286,98.66910553,98.67970276,,
Ecuador,,62.5976181,,,,,69.74481964,70.70570374,72.20137787,75.38136292,75.3682785,76.46295166,80.96116638,80.15563202,81.05174255,,,100,100,97.51136017,97.62767792,100,100,95.5300293
"Egypt, Arab Rep.",,,,,,,,91.21988678,91.31139374,,93.59806061,92.39247131,,,,,,,,,,,,
Euro area,97.31403351,97.31115723,97.74048615,96.59305573,96.78065491,96.30287933,96.48538208,96.60483551,97.93309021,98.00482178,97.97264099,97.85689545,97.88349915,97.77255249,97.80862427,97.84005737,97.85116577,97.68141174,97.70109558,97.64001465,97.75075531,97.87413025,,
Eritrea,,100,95.68353271,93.76537323,89.42102814,,,100,87.6044693,100,100,99.23448181,96.96021271,94.09703827,86.49800873,94.62464142,94.96360016,91.01824188,98.58747864,96.90859985,99.49632263,,93.09738159,
Spain,100,99.17630005,,,,,,,,,,,,,,,99.61151886,98.3640976,,,,100,99.76587677,
Estonia,,,,99.03337097,,,99.26851654,99.38220215,99.94399261,99.27039337,,99.29843903,99.93863678,,,99.30219269,100,99.96939087,99.50486755,99.5819397,99.70549774,99.39228821,99.34916687,
Ethiopia,,89.40299988,89.85089111,94.6296463,,,94.76708984,,,,,,99.79695129,96.97820282,97.58783722,93.09684753,89.2518692,93.96378326,89.6108017,100,,,91.95011902,
European Union,97.13509369,97.40606689,97.7155304,96.50624084,96.50608826,96.38414764,97.03682709,97.25842285,98.11090851,98.15608978,98.14779663,98.0029068,98.05912018,97.93729401,97.8747406,97.83267975,97.93048096,97.84256744,97.79904175,97.70560455,97.81651306,97.91280365,,
Fragile and conflict affected situations,66.72745514,66.40972137,67.02316284,67.70761108,69.36473083,70.89297485,72.52588654,73.74858093,74.59801483,73.78034973,76.81734467,78.76777649,79.76016998,80.23884583,80.65584564,80.64588165,81.13274384,81.71393585,82.08760834,81.0946579,78.34828949,79.06880188,,
Finland,98.83982086,98.55885315,,,,100,99.81960297,99.55731201,100,100,100,99.86073303,100,99.76573181,99.83161163,100,99.76389313,99.88243866,100,100,99.86795807,100,99.71489716,
Fiji,,,,,,,,99.30004883,100,99.5582962,,100,,,,99.9604187,95.54000854,,,91.43604279,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,
Faroe Islands,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,97.90532684,98.35781097,99.87525177,99.68486786,,99.70458984,,,99.70902252,98.60890198,99.69377136,,99.10211182,99.91722107,99.62711334,99.20231628,
Ghana,,,,,,,,96.50350952,84.88398743,96.26083374,90.88401031,100,95.34403229,95.63950348,,99.86641693,94.29074097,,,93.00592041,100,88.14497375,97.94107819,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,78.70993042,76.37413788,,,,,,77.67179108,76.42401886,,71.30123138,88.240242,86.42925262,89.07929993,83.98535919,,63.14234924,81.68360901,,59.23651886,60.5475502,73.84336853,,
