country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,19.51781194,19.39465893,19.27377484,19.1183975,18.95341718,18.83024994,18.56354244,18.32570003,18.15228016,18.05208212,17.89393596,18.09632475,18.39353478,18.74005499,19.10560298,19.48514099,19.31285577,19.20675965,19.20811283,19.35614294,19.67099803,20.19588276,20.88238297,21.70009567,22.5977968,22.7757451,22.96033129
Angola,81.59839933,81.95888899,83.09903123,86.66129637,86.64323782,85.89193404,85.03191592,84.49989423,84.07165845,84.01896274,83.98398508,83.87926893,82.63953086,82.50568946,81.63931023,79.91466059,78.25557216,76.44747095,75.50683772,76.08919994,76.65559951,76.88438774,77.10678656,77.30397152,77.65771429,77.6243834,77.58596292
Albania,71.18560147,72.52070018,72.77755714,72.31431708,71.99753354,71.62351997,71.12712179,71.27230386,70.71883244,70.29497929,69.99633155,69.81064553,69.74533835,69.6088483,69.50125106,69.42275276,69.49656107,69.5815027,69.63537696,69.62004323,69.37700157,68.70454898,68.01056308,67.32326423,66.67491057,66.47928674,66.24831789
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArabWorld,28.17806815,26.93260463,27.17181592,26.93618279,27.53792237,27.8072978,28.05755909,28.02963283,28.12522827,28.38770936,28.29693844,28.08575072,27.71975327,28.31458894,28.65463216,28.88615642,29.37717411,30.23102146,30.36083624,30.32180257,30.58917251,30.65343726,30.95130759,31.31095031,31.29024107,31.42426573,31.54670855
UnitedArabEmirates,27.35651522,28.53611126,29.80696308,31.14840176,32.53759265,33.92371474,34.53858002,35.14573391,35.73682266,36.31102961,36.85611429,37.69224899,38.48280001,39.24013866,39.96024812,40.63835822,42.22943276,43.73771759,45.26408763,45.73791902,46.50355224,46.4937444,46.3972795,46.14365857,45.80958372,45.76411679,45.89838162
Argentina,51.92801775,51.72818864,51.89981243,52.52910061,53.14692385,54.18877372,54.74120954,55.32833244,55.9502725,56.60294102,57.28183926,58.53985254,59.78669725,61.01697308,63.91071011,63.71758753,63.5249575,64.06078512,64.61585564,65.47871447,62.80377199,63.19924291,62.85258615,64.32433597,64.84115804,64.97556008,65.15308705
Armenia,70.68701029,71.12366103,74.12840463,74.5967877,74.05539252,73.57939948,73.4062651,73.48140318,73.44433468,73.67461165,73.80984602,73.61466788,73.29985169,72.86338911,72.397751,71.74318332,71.06810518,70.36496145,69.82787061,72.81086422,70.47646313,74.19724037,74.48393659,75.11317051,74.79072448,74.60449267,74.57872313
AmericanSamoa,,,,,,,,,,,,,,,,,,,,,,,,,,,
