country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,,,,,,,,1.01177001,0.992529988,0.999750018,0.989000022,0.977540016,0.952910006,0.963500023,0.967639983,0.987230003,1.005730033,1.004070044,1.014340043,1.008700013,1.021430016,,,
Afghanistan,,0.360819995,0.430269986,0.471839994,,,,,,0,,0.544319987,0.40625,0.54895997,0.575089991,0.56961,0.589020014,0.613089979,0.629509985,0.667779982,0.673780024,0.659749985,0.658339977,0.651709974
Angola,,,,,,,0.817089975,,,,,,,,,,0.841690004,0.833209991,0.788010001,0.639500022,,,,
Albania,1.005169988,1.03441,0.995140016,0.97112,0.975189984,0.958119988,,0.955219984,0.962689996,0.973630011,,,0.96657002,0.96499002,0.972899973,0.985800028,0.988160014,1.002930045,0.984440029,0.968909979,0.960770011,0.951499999,0.943859994,0.946659982
Andorra,,,,,,,,,,,,,,,,,,,,,,,,
ArabWorld,0.812950015,0.820330024,0.823310018,0.836749971,0.821780026,0.84513998,0.856440008,0.867690027,0.876439989,0.88519001,0.894770026,0.903240025,0.907090008,0.914059997,0.917789996,0.920210004,0.922550023,0.923330009,0.925040007,0.924019992,0.930369973,0.931039989,0.930490017,
UnitedArabEmirates,1.046949983,1.04369998,1.025660038,1.009430051,,1.033489943,1.045799971,,,,,,,,,,,,,,,,,
Argentina,,,,,1.025329947,1.028349996,1.017070055,1.031509995,1.024019957,1.025140047,1.024350047,1.027140021,1.031679988,1.035869956,1.042449951,1.047970057,1.050989985,1.047979951,1.035979986,1.039690018,1.033669949,1.030079961,1.029659986,
Armenia,,,,,,,,,1.057610035,,,,,,,1.131719947,1.150519967,1.166960001,,,,,,1.006299973
AmericanSamoa,,,,,,,,,,,,,,,,,,,,,,,,
AntiguaandBarbuda,0.940339983,,,,,,,,,,,,,,,0.966560006,0.949329972,0.973940015,0.955089986,0.950869977,1.024979949,,0.961260021,0.97596997
Australia,,1.000390053,0.996399999,0.995670021,0.997449994,1.019809961,1.028290033,1.012089968,1.018829942,1.009230018,1.001080036,1.003849983,0.996479988,0.992829978,1.004420042,1.00635004,1.001620054,0.989970028,0.981819987,0.979950011,0.978349984,0.96754998,0.967949986,
Austria,0.946349978,0.95122999,0.955160022,0.955680013,0.960380018,0.965439975,0.961049974,0.966729999,0.969510019,0.969399989,0.964160025,0.963180006,0.962909997,0.966199994,0.969780028,0.96845001,0.96499002,0.964460015,0.968069971,0.970009983,0.969330013,0.968389988,0.965380013,0.963429987
Azerbaijan,0.990429997,0.969609976,0.948159993,1.070279956,1.069560051,1.038319945,,,,,,,,,,,,,,,,,,
Burundi,0.795080006,0.796509981,,,,,,,,,,0.788320005,0.80667001,0.822969973,0.866100013,0.876779974,,0.898549974,0.909489989,0.923720002,0.935000002,0.94569999,0.968360007,0.98161
Belgium,1.009039998,1.029260039,1.029999971,1.037799954,1.036499977,,,1.037629962,1.054299951,1.061329961,1.066059947,1.055960059,0.980989993,0.980579972,0.980920017,0.980430007,0.982850015,0.984089971,0.984070003,0.983370006,0.985310018,1.082870007,1.080659986,1.081429958
Benin,,,,,,,,0.597989976,0.615989983,0.628729999,0.643400013,0.655070007,0.676429987,,,,,,,0.794449985,,0.821720004,0.83555001,0.847710013
BurkinaFaso,,,0.63894999,,,,,0.684080005,0.700209975,0.712759972,,0.737370014,0.766770005,0.782440007,0.799480021,0.817929983,0.8398,0.855490029,0.875109971,0.89003998,0.909829974,0.930559993,0.940320015,0.950510025
Bangladesh,,,,,,,,,,,,,,1.054100037,1.056499958,1.064960003,1.086009979,1.060179949,1.086580038,1.093629956,,1.059260011,,1.100000024
Bulgaria,0.995249987,0.992739975,0.997399986,0.994679987,0.987980008,0.989780009,0.980939984,0.978680015,0.976580024,0.977219999,0.977519989,0.976989985,0.96724999,0.966099977,0.96697998,0.968240023,0.976800025,0.976369977,0.969869971,0.965759993,0.969190001,0.966780007,0.974590003,0.975510001
Bahrain,1.036430001,1.039600015,1.037199974,1.023069978,1.018919945,1.025200009,1.024659991,1.024629951,1.02974999,1.053339958,1.065879941,1.071040034,1.069429994,1.069159985,1.072110057,,,,,0.998660028,1.014240026,1.01662004,1.012210011,1.004449964
"Bahamas,The",1.015069962,1.01820004,,1.001780033,,1.108729959,,0.97457999,,,1.017009974,,0.987909973,0.990079999,0.995649993,1.008190036,1.005100012,1.023669958,1.035709977,,,,,
BosniaandHerzegovina,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,1.01019001,,,,,,,,,,0.977349997,0.976589978,0.977500021,0.977460027,0.977119982,0.985279977,0.989839971,0.991649985
Belize,,,0.970189989,0.978779972,,,,0.995060027,0.985010028,0.990159988,,0.997669995,1.002640009,0.983290017,0.99368,1.006100059,0.999109983,1.000130057,1.003829956,0.996580005,0.989359975,0.98834002,0.988590002,0.980390012
Bermuda,,,,,,,,,,1.040179968,1.061650038,1.079890013,1.108999968,1.089210033,1.081730008,,,,,1.072679996,1.06032002,1.065179944,1.050330043,1.044589996
Bolivia,,,,,,,0.952759981,0.956009984,0.953459978,0.955749989,0.957949996,0.961650014,0.964890003,0.969780028,0.974420011,0.978429973,0.980130017,0.982339978,0.983070016,0.985669971,0.985610008,0.98111999,0.978919983,0.977419972
Brazil,,,,,,,,,,,1.012959957,1.035449982,1.033529997,1.028849959,,1.043990016,1.038730025,1.044160008,,1.025930047,1.035640001,1.029579997,1.029139996,1.017940044
Barbados,,,,,,,,1.015599966,1.006909966,0.995429993,0.99545002,0.994289994,0.99198997,0.993139982,1.000270009,1.009410024,1.012599945,1.011989951,1.011479974,1.018030047,,,1.01899004,
